127.0.0.1 - - [07/Mar/2017:17:10:19 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:21 +0900] "GET /MusicPlay/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/list.do;jsessionid=DC0E33561A07DE0511A726221672AA49 HTTP/1.1" 200 14036
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/css/style.css HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_1.JPG HTTP/1.1" 200 32242
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_2.JPG HTTP/1.1" 200 31485
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_4.JPG HTTP/1.1" 200 25026
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_3.JPG HTTP/1.1" 200 40644
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_6.JPG HTTP/1.1" 200 38731
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_5.JPG HTTP/1.1" 200 45450
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_7.JPG HTTP/1.1" 200 45933
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_8.JPG HTTP/1.1" 200 27097
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_9.JPG HTTP/1.1" 200 35831
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_10.JPG HTTP/1.1" 200 20634
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_11.JPG HTTP/1.1" 200 27281
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_12.JPG HTTP/1.1" 200 33393
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_13.JPG HTTP/1.1" 200 31413
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_14.JPG HTTP/1.1" 200 52501
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_15.JPG HTTP/1.1" 200 22580
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_17.JPG HTTP/1.1" 200 57212
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_16.JPG HTTP/1.1" 200 43771
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_18.JPG HTTP/1.1" 200 44010
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_19.JPG HTTP/1.1" 200 39119
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:22 +0900] "GET /MusicPlay/resources/img/album_20.JPG HTTP/1.1" 200 41507
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:38 +0900] "GET /MusicPlay/addFavorite.do?musicId=7 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:38 +0900] "GET /MusicPlay/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2017:17:10:39 +0900] "GET /MusicPlay/login.jsp HTTP/1.1" 200 981
